iso3,country_name,evidence_class,component_name,raw_variable_name,raw_value,raw_unit,standardized_score,transform,direction,weight,source_id,source_url,source_year,missing_flag,imputation_rule
CHL,Chile,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,1.4220907271469918,score,0.0,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,capacity prior,cloud_region_count,cloud_region_count,1,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,cloud GPU regions,cloud_gpu_region_evidence_count,cloud_gpu_region_evidence_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,data-center footprint,osm_strict_data_center_count,osm_strict_data_center_count,21.0,count,0.4220907271469917,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,direct measured AI load gate,measured_ai_load_available,measured_ai_load_available,False,binary,0.0,boolean identity,higher=stronger,0.0,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,no_imputation_boolean_gate
CHL,Chile,hyperscale MW,accelerator_count_mixed_for_score,accelerator_count_mixed_for_score,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,hyperscale MW,countable_project_capacity_mw,countable_project_capacity_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.25,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,hyperscale MW,hyperscale_project_row_count,hyperscale_project_row_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,public load/capacity,load_capacity_proxy_mw,load_capacity_proxy_mw,0.0,MW,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.1,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHL,Chile,public load/capacity,public_load_envelope_twh_mid,public_load_envelope_twh_mid,0.0,TWh,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHN,China,AI cluster evidence,epoch_h100_equiv_sum,epoch_h100_equiv_sum,109411.0,H100-equivalent count,0.8264482788372287,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHN,China,AI cluster evidence,epoch_power_mw_sum,epoch_power_mw_sum,306.9,MW,0.7528551913858595,fillna->0; log1p min-max normalized,higher=stronger,0.05,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHN,China,capacity prior,ai_accelerator_region_count,ai_accelerator_region_count,2.0,count,0.34568712404340535,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHN,China,capacity prior,ai_compute_capacity_score,ai_compute_capacity_score,5.150288531869034,score,0.04027092244796758,fillna->0; linear min-max normalized,higher=stronger,0.35,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHN,China,capacity prior,cloud_region_count,cloud_region_count,2,count,0.13770538665499876,fillna->0; log1p min-max normalized,higher=stronger,0.15,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
CHN,China,capacity prior,frontier_accelerator_region_count,frontier_accelerator_region_count,0.0,count,0.0,fillna->0; log1p min-max normalized,higher=stronger,0.2,global_token_compute_side_validation_panel_2024_no_mrio,project-local-derived-table,2024,0,fillna_to_zero_before_normalization
